AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-32,-384,16507,0,-8,1
-44,-394,16514,-1,-6,1
-27,-393,16529,0,-8,2
-40,-386,16530,-1,-6,0
-51,-381,16532,0,-7,1
-50,-376,16532,0,-7,1
-43,-377,16525,-2,-6,3
-35,-383,16521,-1,-7,1
-47,-384,16510,-1,-6,2
-51,-401,16514,0,-7,2
-29,-378,16526,0,-7,1
-33,-389,16507,-1,-7,-1
-50,-391,16520,-1,-7,2
-46,-381,16519,-2,-5,1
-49,-388,16520,0,-8,-1
-43,-393,16518,1,-9,1
-52,-395,16515,-1,-8,2
-58,-393,16534,0,-7,1
-41,-386,16529,0,-6,0
-37,-380,16518,0,-9,2
-25,-366,16523,1,-6,2
-21,-380,16530,0,-8,1
-34,-383,16530,0,-8,0
-26,-362,16530,-1,-7,1
-29,-384,16545,0,-6,2
-41,-364,16539,-1,-7,2
-44,-376,16541,0,-7,1
-41,-375,16531,-1,-7,0
-32,-374,16534,-1,-9,1
-45,-373,16526,-1,-7,1
-22,-365,16552,-1,-7,2
-42,-381,16543,-2,-9,2
-45,-378,16513,1,-6,0
-32,-384,16528,1,-6,1
-40,-373,16535,0,-7,1
-30,-390,16515,1,-8,0
-47,-374,16534,1,-6,3
-33,-374,16529,0,-6,1
-29,-385,16535,-1,-6,1
-29,-375,16506,0,-7,2
-39,-385,16526,-2,-10,1
-31,-370,16522,1,-5,0
-28,-371,16522,-2,-7,2
-47,-374,16515,0,-7,1
-33,-367,16524,-3,-7,2
-45,-373,16517,-2,-7,2
-38,-387,16514,-1,-7,2
-34,-374,16548,0,-7,0
-48,-394,16519,-1,-6,2
-51,-380,16506,-1,-7,3
-30,-365,16524,1,-8,0
-21,-384,16533,-1,-5,2
-26,-369,16540,1,-5,2
-35,-381,16533,-1,-7,3
-49,-384,16516,0,-5,3
-21,-389,16558,0,-10,2
-43,-376,16526,0,-7,1
-28,-377,16534,-1,-7,0
-39,-371,16516,-2,-6,2
-25,-388,16533,0,-7,2
-48,-394,16507,-1,-7,1
-50,-389,16524,0,-6,-1
-42,-374,16516,0,-8,-1
-22,-382,16533,-1,-6,2
-37,-376,16530,1,-7,1
-56,-387,16523,1,-7,2
-8,-367,16533,-1,-6,1
-39,-369,16544,0,-8,2
-32,-391,16535,-1,-7,2
-25,-375,16523,-2,-7,1
-35,-366,16535,-2,-8,3
-19,-370,16528,-1,-5,2
-16,-351,16540,0,-8,2
-33,-374,16561,0,-6,1
-28,-373,16539,0,-6,1
-31,-372,16537,-1,-7,0
-30,-372,16540,0,-8,2
-24,-390,16533,-1,-9,3
-49,-390,16524,-1,-7,0
-30,-365,16516,-1,-6,1
-7,-370,16542,-1,-7,2
-24,-382,16544,0,-6,0
-52,-396,16546,0,-7,2
-49,-382,16513,1,-9,0
-51,-380,16510,-1,-7,1
-39,-388,16519,0,-7,0
-33,-377,16525,-2,-7,2
-37,-380,16533,-2,-7,2
-19,-368,16542,1,-8,0
-29,-362,16531,1,-7,3
-42,-372,16530,1,-7,1
-29,-377,16521,1,-8,2
-38,-387,16522,-1,-6,1
-39,-401,16535,-1,-8,1
-31,-385,16541,0,-7,2
-23,-356,16524,0,-7,1
-39,-374,16525,2,-7,2
-45,-400,16523,0,-7,0
-47,-384,16526,0,-8,0
-38,-393,16508,-1,-7,0
-33,-381,16520,-1,-6,1
-43,-388,16527,-1,-8,2
-44,-378,16537,1,-7,1
-37,-362,16523,0,-6,2
-22,-392,16536,-1,-6,0
-37,-374,16525,-1,-8,1
-30,-381,16543,1,-8,1
-21,-392,16530,0,-8,0
-26,-381,16532,0,-8,2
-47,-384,16529,0,-8,1
-69,-377,16534,-1,-7,2
-52,-382,16520,0,-7,-1
-36,-378,16530,2,-6,1
-32,-397,16517,1,-8,2
-49,-383,16516,-1,-7,2
-34,-378,16519,1,-6,2
-27,-373,16526,-3,-5,0
-32,-387,16524,-2,-6,2
-30,-388,16517,-1,-6,1
-30,-376,16535,-1,-8,1
-42,-374,16529,0,-8,2
-34,-386,16517,-1,-9,2
-41,-392,16523,-2,-8,1
-27,-379,16519,1,-7,0
-32,-385,16527,-1,-7,0
-36,-387,16504,1,-6,1
-40,-367,16525,-1,-7,2
-47,-402,16521,-1,-8,2
-29,-381,16529,0,-7,2
-41,-377,16518,-2,-7,0
-24,-384,16513,-1,-8,1
-43,-395,16527,0,-7,0
-33,-390,16515,-1,-7,1
